"BR-GO";"BR"
"BR-GO";"BR-South-eastern and Mid-western grid"
"BR-GO";"IAI Area 3, South America"
"BR-GO";"RLA"
"BR-GO";"UN-AMERICAS"
"BR-GO";"UN-SAMERICA"
"BR-MA";"BR"
"BR-MA";"BR-North-eastern grid"
"BR-MA";"IAI Area 3, South America"
"BR-MA";"RLA"
"BR-MA";"UN-AMERICAS"
"BR-MA";"UN-SAMERICA"
"BR-MG";"BR"
"BR-MG";"BR-South-eastern and Mid-western grid"
"BR-MG";"IAI Area 3, South America"
"BR-MG";"RLA"
"BR-MG";"UN-AMERICAS"
"BR-MG";"UN-SAMERICA"
"BR-MS";"BR"
"BR-MS";"BR-South-eastern and Mid-western grid"
"BR-MS";"IAI Area 3, South America"
"BR-MS";"RLA"
"BR-MS";"UN-AMERICAS"
"BR-MS";"UN-SAMERICA"
"BR-MT";"BR"
"BR-MT";"BR-South-eastern and Mid-western grid"
"BR-MT";"IAI Area 3, South America"
"BR-MT";"RLA"
"BR-MT";"UN-AMERICAS"
"BR-MT";"UN-SAMERICA"
"BR-North-eastern grid";"BR"
"BR-North-eastern grid";"IAI Area 3, South America"
"BR-North-eastern grid";"RLA"
"BR-North-eastern grid";"UN-AMERICAS"
"BR-North-eastern grid";"UN-SAMERICA"
"BR-Northern grid";"BR"
"BR-Northern grid";"IAI Area 3, South America"
"BR-Northern grid";"RLA"
"BR-Northern grid";"UN-AMERICAS"
"BR-Northern grid";"UN-SAMERICA"
"BR-PA";"BR"
"BR-PA";"BR-Northern grid"
"BR-PA";"IAI Area 3, South America"
"BR-PA";"RLA"
"BR-PA";"UN-AMERICAS"
"BR-PA";"UN-SAMERICA"
"BR-PB";"BR"
"BR-PB";"BR-North-eastern grid"
"BR-PB";"IAI Area 3, South America"
"BR-PB";"RLA"
"BR-PB";"UN-AMERICAS"
"BR-PB";"UN-SAMERICA"
"BR-PE";"BR"
"BR-PE";"BR-North-eastern grid"
"BR-PE";"IAI Area 3, South America"
"BR-PE";"RLA"
"BR-PE";"UN-AMERICAS"
"BR-PE";"UN-SAMERICA"
"BR-PI";"BR"
"BR-PI";"BR-North-eastern grid"
"BR-PI";"IAI Area 3, South America"
"BR-PI";"RLA"
"BR-PI";"UN-AMERICAS"
"BR-PI";"UN-SAMERICA"
"BR-PR";"BR"
"BR-PR";"BR-Southern grid"
"BR-PR";"IAI Area 3, South America"
"BR-PR";"RLA"
"BR-PR";"UN-AMERICAS"
"BR-PR";"UN-SAMERICA"
"BR-RJ";"BR"
"BR-RJ";"BR-South-eastern and Mid-western grid"
"BR-RJ";"IAI Area 3, South America"
"BR-RJ";"RLA"
"BR-RJ";"UN-AMERICAS"
"BR-RJ";"UN-SAMERICA"
"BR-RN";"BR"
"BR-RN";"BR-North-eastern grid"
"BR-RN";"IAI Area 3, South America"
"BR-RN";"RLA"
"BR-RN";"UN-AMERICAS"
"BR-RN";"UN-SAMERICA"
"BR-RO";"BR"
"BR-RO";"BR-Northern grid"
"BR-RO";"IAI Area 3, South America"
"BR-RO";"RLA"
"BR-RO";"UN-AMERICAS"
"BR-RO";"UN-SAMERICA"
"BR-RR";"BR"
"BR-RR";"BR-Northern grid"
"BR-RR";"IAI Area 3, South America"
"BR-RR";"RLA"
"BR-RR";"UN-AMERICAS"
"BR-RR";"UN-SAMERICA"
"BR-RS";"BR"
"BR-RS";"BR-Southern grid"
"BR-RS";"IAI Area 3, South America"
"BR-RS";"RLA"
"BR-RS";"UN-AMERICAS"
"BR-RS";"UN-SAMERICA"
"BR-SC";"BR"
"BR-SC";"BR-Southern grid"
"BR-SC";"IAI Area 3, South America"
"BR-SC";"RLA"
"BR-SC";"UN-AMERICAS"
"BR-SC";"UN-SAMERICA"
"BR-SE";"BR"
"BR-SE";"BR-North-eastern grid"
"BR-SE";"IAI Area 3, South America"
"BR-SE";"RLA"
"BR-SE";"UN-AMERICAS"
"BR-SE";"UN-SAMERICA"
"BR-SP";"BR"
"BR-SP";"BR-South-eastern and Mid-western grid"
"BR-SP";"IAI Area 3, South America"
"BR-SP";"RLA"
"BR-SP";"UN-AMERICAS"
"BR-SP";"UN-SAMERICA"
"BR-South-eastern and Mid-western grid";"BR"
"BR-South-eastern and Mid-western grid";"IAI Area 3, South America"
"BR-South-eastern and Mid-western grid";"RLA"
"BR-South-eastern and Mid-western grid";"UN-AMERICAS"
"BR-South-eastern and Mid-western grid";"UN-SAMERICA"
"BR-Southern grid";"BR"
"BR-Southern grid";"IAI Area 3, South America"
"BR-Southern grid";"RLA"
"BR-Southern grid";"UN-AMERICAS"
"BR-Southern grid";"UN-SAMERICA"
"BR-TO";"BR"
"BR-TO";"BR-Northern grid"
"BR-TO";"IAI Area 3, South America"
"BR-TO";"RLA"
"BR-TO";"UN-AMERICAS"
